date,team,opp,mpg,orig_ppg,orig_scaled,opp_orig_scaled,diff_orig,pred_scaled,opp_pred_scaled,diff_pred
2016-11-18,DET,CLE,250.741666667,105.333333333,100.820898003,108.231300764,7.41040276114,100.860635472,109.111218675,8.25058320232
2016-11-18,GSW,BOS,232.6825,119.0,122.742363521,102.143124706,-20.599238815,118.452311896,105.551537793,-12.9007741033
2016-11-18,IND,PHO,228.1825,92.5,97.2905459446,112.984386671,15.6938407267,97.7127947212,110.132486529,12.4196918075
2016-11-18,LAC,SAC,223.848,111.2,119.223758979,103.039879052,-16.1838799276,120.037706037,105.163288046,-14.8744179916
2016-11-18,LAL,SAS,222.268,101.8,109.921356201,100.809592674,-9.11176352636,107.962455053,101.641326367,-6.32112868605
2016-11-18,MEM,DAL,285.272833333,119.366666667,100.423162154,80.5294488077,-19.8937133465,96.5279725194,80.586080703,-15.9418918164
2016-11-18,NOP,POR,246.872,103.3,100.424511488,99.6630977516,-0.761413736109,98.3404269499,103.446920865,5.10649391461
2016-11-18,OKC,BRK,254.29,109.0,102.874670652,113.125453227,10.2507825754,103.985587551,112.217649507,8.23206195637
2016-11-18,PHO,IND,228.704166667,107.666666667,112.984386671,97.2905459446,-15.6938407267,110.132486529,97.7127947212,-12.4196918075
2016-11-18,POR,NOP,240.129,99.7166666667,99.6630977516,100.424511488,0.761413736109,103.446920865,98.3404269499,-5.10649391461
2016-11-18,SAC,LAC,256.6385,110.183333333,103.039879052,119.223758979,16.1838799276,105.163288046,120.037706037,14.8744179916
2016-11-18,SAS,LAL,272.7915,114.583333333,100.809592674,109.921356201,9.11176352636,101.641326367,107.962455053,6.32112868605
2016-11-18,TOR,DEN,250.930166667,119.75,114.533857693,101.346966346,-13.1868913478,115.137748502,97.8714848305,-17.2662636717
2016-11-19,BOS,DET,246.569333333,101.8,99.0877481385,102.660900161,3.57315202281,102.730408466,103.169362461,0.438953995553
2016-11-19,CHI,LAC,255.16,104.5,98.2912682239,116.043386757,17.7521185335,100.3017471,113.108711784,12.806964684
2016-11-19,CHO,NOP,222.5565,93.65,100.990085664,102.88916051,1.89907484648,100.106077986,112.460062628,12.353984642
2016-11-19,DAL,ORL,229.6675,71.25,74.4554627886,91.0229364352,16.5674736466,74.2865716062,92.1506530433,17.8640814371
2016-11-19,DET,BOS,218.272,93.3666666667,102.660900161,99.0877481385,-3.57315202281,103.169362461,102.730408466,-0.438953995553
2016-11-19,GSW,MIL,237.6115,122.15,123.377866812,100.146347328,-23.2315194838,122.515950313,104.654671738,-17.8612785754
2016-11-19,HOU,UTA,214.585,100.5,112.403010462,94.6877143587,-17.7152961033,111.817342973,95.4786063907,-16.3387365818
2016-11-19,LAC,CHI,231.6375,112.0,116.043386757,98.2912682239,-17.7521185335,113.108711784,100.3017471,-12.806964684
2016-11-19,MEM,MIN,256.655607143,102.383333333,95.7391902462,108.512428557,12.7732383104,95.5810505028,109.447930745,13.8668802422
2016-11-19,MIA,WAS,238.221333333,93.9,94.6010992578,111.336000281,16.7349010235,96.6896239804,110.493872745,13.8042487645
2016-11-19,MIL,GSW,241.207,100.65,100.146347328,123.377866812,23.2315194838,104.654671738,122.515950313,17.8612785754
2016-11-19,MIN,MEM,266.51325,120.5,108.512428557,95.7391902462,-12.7732383104,109.447930745,95.5810505028,-13.8668802422
2016-11-19,NOP,CHO,231.1225,99.0833333333,102.88916051,100.990085664,-1.89907484648,112.460062628,100.106077986,-12.353984642
2016-11-19,ORL,DAL,237.962,90.25,91.0229364352,74.4554627886,-16.5674736466,92.1506530433,74.2865716062,-17.8640814371
2016-11-19,PHI,PHO,250.346,98.2666666667,94.2056194227,113.118547526,18.9129281031,94.6715187993,112.621369208,17.9498504083
2016-11-19,PHO,PHI,224.72,105.916666667,113.118547526,94.2056194227,-18.9129281031,112.621369208,94.6715187993,-17.9498504083
2016-11-19,UTA,HOU,223.049,88.0,94.6877143587,112.403010462,17.7152961033,95.4786063907,111.817342973,16.3387365818
2016-11-19,WAS,MIA,241.682833333,112.116666667,111.336000281,94.6010992578,-16.7349010235,110.493872745,96.6896239804,-13.8042487645
2016-11-20,ATL,NYK,235.0275,102.35,104.515429046,115.042915224,10.5274861781,106.279635894,116.95438706,10.6747511654
2016-11-20,BRK,POR,266.696666667,116.516666667,104.853204015,94.1869021339,-10.6663018806,106.319879503,96.531911953,-9.78796754972
2016-11-20,CHI,LAL,231.3875,81.5833333333,84.619955702,111.160722553,26.5407668509,87.9228320436,110.059519606,22.1366875624
2016-11-20,DEN,UTA,243.87,108.5,106.778201501,89.422539528,-17.3556619728,107.553050195,85.5209932916,-22.0320569039
2016-11-20,IND,OKC,188.235,70.1666666667,89.4626397854,116.451817061,26.989177276,88.0546671685,111.257814973,23.2031478042
